iter	Passed	Remaining
696	1131	491
697	1132	490
698	1133	488
699	1134	486
700	1136	484
701	1137	482
702	1139	481
703	1140	479
704	1141	477
705	1142	475
706	1143	473
707	1144	471
708	1145	470
709	1146	468
710	1147	466
711	1148	464
712	1149	462
713	1150	460
714	1152	459
715	1154	457
716	1155	456
717	1156	454
718	1158	452
719	1159	450
720	1160	449
721	1162	447
722	1163	445
723	1164	444
724	1166	442
725	1167	440
726	1169	439
727	1170	437
728	1171	435
729	1172	433
730	1173	431
731	1174	430
732	1175	428
733	1176	426
734	1177	424
735	1178	422
736	1179	421
737	1181	419
738	1183	417
739	1184	416
740	1185	414
741	1186	412
742	1187	410
743	1188	409
744	1190	407
745	1191	405
746	1192	403
747	1193	402
748	1194	400
749	1195	398
750	1197	396
751	1198	395
752	1199	393
753	1200	391
754	1201	390
755	1202	388
756	1203	386
757	1204	384
758	1206	382
759	1207	381
760	1208	379
761	1209	377
762	1210	376
763	1212	374
764	1213	372
765	1214	371
766	1215	369
767	1216	367
768	1217	365
769	1218	364
770	1219	362
771	1220	360
772	1221	358
773	1222	357
774	1223	355
775	1224	353
776	1226	351
777	1227	350
778	1229	348
779	1230	346
780	1231	345
781	1232	343
782	1233	341
783	1234	340
784	1235	338
785	1236	336
786	1237	334
787	1238	333
788	1239	331
789	1241	329
790	1242	328
791	1244	326
792	1245	325
793	1246	323
794	1248	321
795	1249	320
796	1250	318
797	1252	316
798	1253	315
799	1254	313
800	1256	312
801	1257	310
802	1258	308
803	1259	307
804	1261	305
805	1262	303
806	1264	302
807	1265	300
808	1266	298
809	1267	297
810	1268	295
811	1269	293
812	1270	292
813	1272	290
814	1273	289
815	1274	287
816	1275	285
817	1276	284
818	1277	282
819	1279	280
820	1280	279
821	1281	277
822	1282	275
823	1283	274
824	1285	272
825	1286	271
826	1288	269
827	1289	267
828	1290	266
829	1291	264
830	1292	262
831	1293	261
832	1294	259
833	1295	257
834	1296	256
835	1297	254
836	1298	252
837	1299	251
838	1301	249
839	1303	248
840	1304	246
841	1305	244
842	1306	243
843	1307	241
844	1309	240
845	1310	238
846	1312	237
847	1313	235
848	1315	233
849	1316	232
850	1318	230
851	1319	229
852	1320	227
853	1321	225
854	1322	224
855	1324	222
856	1325	221
857	1326	219
858	1327	217
859	1328	216
860	1329	214
861	1330	213
862	1332	211
863	1333	209
864	1334	208
865	1335	206
866	1336	205
867	1337	203
868	1339	201
869	1340	200
870	1341	198
871	1342	197
872	1343	195
873	1344	193
874	1346	192
875	1348	190
876	1349	189
877	1350	187
878	1351	186
879	1352	184
880	1353	182
881	1355	181
882	1356	179
883	1357	178
884	1358	176
885	1360	175
886	1361	173
887	1363	171
888	1364	170
889	1365	168
890	1366	167
891	1367	165
892	1368	164
893	1369	162
894	1370	160
895	1372	159
896	1373	157
897	1374	156
898	1375	154
899	1376	152
900	1378	151
901	1379	149
902	1380	148
903	1381	146
904	1382	145
905	1383	143
906	1384	141
907	1385	140
908	1386	138
909	1387	137
910	1388	135
911	1390	134
912	1391	132
913	1393	131
914	1394	129
915	1395	127
916	1396	126
917	1397	124
918	1398	123
919	1399	121
920	1400	120
921	1401	118
922	1403	117
923	1404	115
924	1405	113
925	1407	112
926	1408	110
927	1409	109
928	1410	107
929	1412	106
930	1413	104
931	1414	103
932	1415	101
933	1416	100
934	1417	98
935	1418	96
936	1419	95
937	1420	93
938	1422	92
939	1423	90
940	1424	89
941	1425	87
942	1426	86
943	1427	84
944	1428	83
945	1429	81
946	1430	80
947	1431	78
948	1433	77
949	1434	75
950	1435	73
951	1437	72
952	1438	70
953	1439	69
954	1441	67
955	1442	66
956	1443	64
957	1444	63
958	1446	61
959	1447	60
960	1449	58
961	1450	57
962	1452	55
963	1453	54
964	1454	52
965	1455	51
966	1456	49
967	1457	48
968	1458	46
969	1460	45
970	1461	43
971	1462	42
972	1463	40
973	1464	39
974	1465	37
975	1467	36
976	1468	34
977	1469	33
978	1470	31
979	1471	30
980	1473	28
981	1474	27
982	1475	25
983	1476	24
984	1477	22
985	1478	20
986	1479	19
987	1480	17
988	1482	16
989	1483	14
990	1484	13
991	1485	11
992	1486	10
993	1487	8
994	1488	7
995	1489	5
996	1490	4
997	1491	2
998	1493	1
999	1495	0
